"SAMN08707421"	"SAMN08707428"	"SAMN08707431"	"SAMN08707434"	"SAMN08707436"	"SAMN08707439"	"SAMN08707426"
"SRP135559.OTU88"	0.00110708963167979	0.00109075584422024	0.0062731263511094	0.00556892508947303	0.000958772770853308	0.000347671961278887	0.000776103581434088
"SRP135559.OTU91"	0.00112255282972945	0.000776750373914409	0.00228776806673651	0.00135752190546711	0.00112255282972945	6.81709727997818e-05	0.00113576133868404
"SRP135559.OTU102"	0.000468384074941452	0.00143781452192667	0.0154905107359319	0.0210261631494508	0.00031959092361777	0.000177244529279433	0.00648661798919134
"SRP135559.OTU120"	0.000702576112412178	0.00127643433428898	0.00163790931154759	0.000185116623472788	7.98977309044424e-05	0.00377667189310791	0.00167209308195149
"SRP135559.OTU124"	0.00851607408984458	0.000256162357354752	0.00566968607843398	0.00657164013328397	0.00194417811867476	0.00141795623423547	0.00406261616863792
"SRP135559.OTU128"	0.00153289333617202	0.00104117603311931	0.00245848107492231	0.00245848107492231	0.000585916693299243	0.00667393823709865	0.00573559476035436
"SRP135559.OTU129"	0.000404513519267617	0.000694117355412876	0.000504090324521328	9.25583117363939e-05	0.00114520080963034	0.000184061626559411	0.00368491456550819
"SRP135559.OTU147"	0.0025974025974026	0.00057843112951073	0.00364340172699041	0.000570776255707763	0.00380845850644509	0.0106619401458859	0.00364340172699041
"SRP135559.OTU150"	0.00221417926335959	0.000338795375856285	0.00154106695842748	0.00154106695842748	0.00292958346649622	0.000681709727997818	0.00177935943060499
"SRP135559.OTU151"	0.000574835001064509	0.000371846611240746	0.000165780294691052	0.000509070714550167	0.000452753808458507	0.000156793237439498	0.000371846611240746
"SRP135559.OTU158"	0.000404513519267617	0.000256162357354752	0.000974788132783384	0.00183573984943848	0.000346223500585917	0.00100893039743677	0.00331894702304334
"SRP135559.OTU165"	0.00349159037683627	0.000842856788715635	0.00188989535947799	0.00982660742934715	0.00378182592947694	0.0039665551767708	0.0039665551767708
"SRP135559.OTU179"	0.000659995741962955	0.00143619331716827	0.00170422142942402	0.00316240898432679	0.00143619331716827	0.000218147112959302	0.00024608162338154
