"","SAMN08707421","SAMN08707422","SAMN08707423","SAMN08707424","SAMN08707425","SAMN08707426","SAMN08707427","SAMN08707428","SAMN08707429","SAMN08707430","SAMN08707431","SAMN08707432","SAMN08707433","SAMN08707434","SAMN08707435","SAMN08707436","SAMN08707437","SAMN08707438","SAMN08707439","SAMN08707440","SAMN08707441"
"SRP135559.OTU28",0,0.0270758122743682,0.0127504252894446,0,0.03706728489383,0.0315923678339073,0,0.000118232192261309,0.00281490242460083,0,0,0,0,0,0,0,0,0,0,0.0141102670442239,0.0379999634674282
"SRP135559.OTU29",0.017428167687235,0,0,0,0,0.00748092270963145,0.00772536478113132,0.00226217594526638,0.0313424009461857,0,0,0,0,0.0106061060011385,0.000856217284996778,0.0133179959100205,0.0733654536707131,0.0113308084431993,0,0.00834262519954116,0.0190030261147001
"SRP135559.OTU30",0.00141309467734338,0,0,0,0.0803695312362787,0.0205928490628535,0,0.0543710441479006,2.36546422235364e-05,0,0,0,0,0,0,0,0,0,0,0,0
"SRP135559.OTU31",0,0,0.000181677044279651,0.181581903482302,0.00488258952877742,0.00036873386789328,0,0,0,0,0,0,0.00092943504771367,0,0,0,0.00060661418640487,0.000705055811718901,0,0.000152413344991617,0.000249639240853157
"SRP135559.OTU32",0.00284666898769174,0.000735673330704123,0.000264257518952219,0,0.00158069445176247,0.00754341997537608,0.00172896262242654,0,0.000733293908929627,0,0.00683307676818852,0.01374823059118,0,0.0331815321928274,0,0.00633946830265849,0,0.00462965851588871,0.012763271543419,0.0399804269178011,0.011860908321511
"SRP135559.OTU33",0,0,0,0,0,0,0.0795722566460124,0,0.0109757539917209,0,0,0,0,0,0.0760621066476004,0,0,0,0,0,0
"SRP135559.OTU34",0.0353683261995945,0.0113839759730607,0.0253109154871422,0,0,0,0,0.0257825000591161,0.014287403903016,0,0,0,0,0,0.0212200654962088,0.0245143149284254,0,0.00965864067735273,0.00225898611387948,0.00555907621469425,0.0035801920395526
"SRP135559.OTU35",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192947239116757,0,0,0,0,0.102072951963325,0,0
"SRP135559.OTU36",0.0149910913596428,0.00257106452689379,0.0115530084066923,0,0.000456645063842493,0.00137493984638172,0,0.0159534638091259,0.00217622708456535,0,0.0258318881246062,0.00126364647059896,5.60865977068594e-05,0.0120292416933817,0.0136553416483507,0.0148773006134969,0.0201925825727414,0.00386844781651078,0.000950102983190486,0.00425153014976617,0.00136997144370635
"SRP135559.OTU37",0.00221180036453747,0.0156463307344599,0.0268716864584538,0,0.000913290127684985,0,0,0.00439035540596994,0,0.00275561168838624,0,0.00468399725399902,0,0,0,0.00168711656441718,0.0441015486093195,0.00509137648108516,0.00113613713374527,0.00246267878486455,0.000852426676083952
"SRP135559.OTU38",0.000471031559114461,0.00157752631738616,0.000454192610699126,0,0.0154995872631154,0.0231239883255108,0,0.000394107307537696,0.00115907746895328,0,0.00628746987795293,0,0,0.00542289600623184,0,0.00378323108384458,0,0.00379357463296541,0.0180984652182579,0.0168055767240757,0.013157814621553
"SRP135559.OTU39",0.0143971820024985,0.00182780693504839,0.0231638231456554,0,0,0,0.0495002998201079,0.0239459600059904,0.0105499704316972,0,0,0,0,0.0118944183120113,1.76539646391088e-05,0.018021472392638,0,0.00494786954595654,5.97966912497508e-05,0.000978654109946174,0.000292260574657355
"SRP135559.OTU40",0.00751602531282639,0,0.117693692503345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRP135559.OTU41",0.00260091339163202,0.000113763917119194,0.00222141476869209,0.00265412656108896,0,0.00392482828876237,0.000969418348990606,0.00219123662990959,0.000236546422235364,0.00011481715368276,0.00104574653961821,0,0.0034693566867243,0.000524313149773796,0.000423695151338612,0.0100460122699386,0.0515133978064273,0.0256565442282135,0.000239186764999003,0.000240652649986764,0.000383592004237778
"SRP135559.OTU42",0.000901103852218968,0,0,0,0.00395173612940619,0.00211240758216828,0,0,0,0,0.0149262456400164,0.0643912929897997,0.000440680410553895,0,0,0.000741308793456033,0,0.00257064596839104,0,0,0
"SRP135559.OTU43",0,0,0,0.154104535142398,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000630182628173531,0,0,0
"SRP135559.OTU44",0,0,0,0,0,0,0,0,0,0,0.0904408373766701,0,0,0,0,0,0,0,0,0,0
"SRP135559.OTU45",0,0,0,0,0,0,0,0,0,0.0130891555198347,0,0.0738504158490429,0.000496767008260755,0,0,0,0,0,0,0,0
"SRP135559.OTU46",0.00249851522660714,0.00457330946819161,0.0047070870563364,0,0,0,0,0.000189171507618094,0.00991129509166174,0,0,0,0,0,0,0.00199386503067485,0.0280018686505972,0.00839203598904356,0.00380041193276194,0.0286055783284267,0.0149296443554132
"SRP135559.OTU47",0.00907247742120461,0.00470982616873464,0.0267395576989777,0,0.00486502625709117,0.00165617754223253,0.000169898061163302,0.0112714689955781,0.00657599053814311,0,0,0,0,0.0273092249153609,0.00375146748581063,0.00662065439672802,0.0150747111610038,0.00434888407759358,0.00108962859610657,0.00405900802977675,0.00469443548043376
